# seed   q=2                      q=3                      q=4                      q=5                      q=6                      q=7                      q=8                      q=9                      q=10
0        6.000000000000000000e+00 5.000000000000000000e+00 6.000000000000000000e+00 4.000000000000000000e+00 3.000000000000000000e+00 3.000000000000000000e+00 3.000000000000000000e+00 3.000000000000000000e+00 2.000000000000000000e+00
1        1.300000000000000000e+01 7.000000000000000000e+00 1.100000000000000000e+01 8.000000000000000000e+00 6.000000000000000000e+00 5.000000000000000000e+00 5.000000000000000000e+00 5.000000000000000000e+00 5.000000000000000000e+00
2        7.000000000000000000e+00 5.000000000000000000e+00 2.000000000000000000e+00 3.000000000000000000e+00 2.000000000000000000e+00 2.000000000000000000e+00 2.000000000000000000e+00 2.000000000000000000e+00 2.000000000000000000e+00
3        9.000000000000000000e+00 8.000000000000000000e+00 6.000000000000000000e+00 7.000000000000000000e+00 4.000000000000000000e+00 3.000000000000000000e+00 3.000000000000000000e+00 3.000000000000000000e+00 3.000000000000000000e+00
4        1.500000000000000000e+01 6.000000000000000000e+00 1.000000000000000000e+01 8.000000000000000000e+00 7.000000000000000000e+00 5.000000000000000000e+00 6.000000000000000000e+00 5.000000000000000000e+00 5.000000000000000000e+00
5        1.200000000000000000e+01 5.000000000000000000e+00 8.000000000000000000e+00 7.000000000000000000e+00 3.000000000000000000e+00 3.000000000000000000e+00 2.000000000000000000e+00 2.000000000000000000e+00 4.000000000000000000e+00
6        1.200000000000000000e+01 1.100000000000000000e+01 1.100000000000000000e+01 8.000000000000000000e+00 2.000000000000000000e+00 2.000000000000000000e+00 2.000000000000000000e+00 2.000000000000000000e+00 2.000000000000000000e+00
7        1.400000000000000000e+01 8.000000000000000000e+00 1.100000000000000000e+01 5.000000000000000000e+00 1.000000000000000000e+01 8.000000000000000000e+00 5.000000000000000000e+00 5.000000000000000000e+00 5.000000000000000000e+00
8        7.000000000000000000e+00 5.000000000000000000e+00 4.000000000000000000e+00 4.000000000000000000e+00 2.000000000000000000e+00 2.000000000000000000e+00 2.000000000000000000e+00 2.000000000000000000e+00 2.000000000000000000e+00
9        1.500000000000000000e+01 7.000000000000000000e+00 8.000000000000000000e+00 6.000000000000000000e+00 9.000000000000000000e+00 6.000000000000000000e+00 1.000000000000000000e+01 1.100000000000000000e+01 1.000000000000000000e+01


# q  seed=0                   seed=1
2    6.000000000000000000e+00 1.300000000000000000e+01 7.000000000000000000e+00 9.000000000000000000e+00 1.500000000000000000e+01 1.200000000000000000e+01 1.200000000000000000e+01 1.400000000000000000e+01 7.000000000000000000e+00 1.500000000000000000e+01
3    5.000000000000000000e+00 7.000000000000000000e+00 5.000000000000000000e+00 8.000000000000000000e+00 6.000000000000000000e+00 5.000000000000000000e+00 1.100000000000000000e+01 8.000000000000000000e+00 5.000000000000000000e+00 7.000000000000000000e+00
4    6.000000000000000000e+00 1.100000000000000000e+01 2.000000000000000000e+00 6.000000000000000000e+00 1.000000000000000000e+01 8.000000000000000000e+00 1.100000000000000000e+01 1.100000000000000000e+01 4.000000000000000000e+00 8.000000000000000000e+00
5    4.000000000000000000e+00 8.000000000000000000e+00 3.000000000000000000e+00 7.000000000000000000e+00 8.000000000000000000e+00 7.000000000000000000e+00 8.000000000000000000e+00 5.000000000000000000e+00 4.000000000000000000e+00 6.000000000000000000e+00
6    3.000000000000000000e+00 6.000000000000000000e+00 2.000000000000000000e+00 4.000000000000000000e+00 7.000000000000000000e+00 3.000000000000000000e+00 2.000000000000000000e+00 1.000000000000000000e+01 2.000000000000000000e+00 9.000000000000000000e+00
7    3.000000000000000000e+00 5.000000000000000000e+00 2.000000000000000000e+00 3.000000000000000000e+00 5.000000000000000000e+00 3.000000000000000000e+00 2.000000000000000000e+00 8.000000000000000000e+00 2.000000000000000000e+00 6.000000000000000000e+00
8    3.000000000000000000e+00 5.000000000000000000e+00 2.000000000000000000e+00 3.000000000000000000e+00 6.000000000000000000e+00 2.000000000000000000e+00 2.000000000000000000e+00 5.000000000000000000e+00 2.000000000000000000e+00 1.000000000000000000e+01
9    3.000000000000000000e+00 5.000000000000000000e+00 2.000000000000000000e+00 3.000000000000000000e+00 5.000000000000000000e+00 2.000000000000000000e+00 2.000000000000000000e+00 5.000000000000000000e+00 2.000000000000000000e+00 1.100000000000000000e+01
10   2.000000000000000000e+00 5.000000000000000000e+00 2.000000000000000000e+00 3.000000000000000000e+00 5.000000000000000000e+00 4.000000000000000000e+00 2.000000000000000000e+00 5.000000000000000000e+00 2.000000000000000000e+00 1.000000000000000000e+01
