# seed   q=2                      q=3                      q=4                      q=5                      q=6                      q=7                      q=8                      q=9                      q=10
0        1.200000000000000000e+01 1.500000000000000000e+01 2.400000000000000000e+01 2.000000000000000000e+01 1.800000000000000000e+01 2.100000000000000000e+01 2.400000000000000000e+01 2.700000000000000000e+01 2.000000000000000000e+01
1        2.600000000000000000e+01 2.100000000000000000e+01 4.400000000000000000e+01 4.000000000000000000e+01 3.600000000000000000e+01 3.500000000000000000e+01 4.000000000000000000e+01 4.500000000000000000e+01 5.000000000000000000e+01
2        1.400000000000000000e+01 1.500000000000000000e+01 8.000000000000000000e+00 1.500000000000000000e+01 1.200000000000000000e+01 1.400000000000000000e+01 1.600000000000000000e+01 1.800000000000000000e+01 2.000000000000000000e+01
3        1.800000000000000000e+01 2.400000000000000000e+01 2.400000000000000000e+01 3.500000000000000000e+01 2.400000000000000000e+01 2.100000000000000000e+01 2.400000000000000000e+01 2.700000000000000000e+01 3.000000000000000000e+01
4        3.000000000000000000e+01 1.800000000000000000e+01 4.000000000000000000e+01 4.000000000000000000e+01 4.200000000000000000e+01 3.500000000000000000e+01 4.800000000000000000e+01 4.500000000000000000e+01 5.000000000000000000e+01
5        2.400000000000000000e+01 1.500000000000000000e+01 3.200000000000000000e+01 3.500000000000000000e+01 1.800000000000000000e+01 2.100000000000000000e+01 1.600000000000000000e+01 1.800000000000000000e+01 4.000000000000000000e+01
6        2.400000000000000000e+01 3.300000000000000000e+01 4.400000000000000000e+01 4.000000000000000000e+01 1.200000000000000000e+01 1.400000000000000000e+01 1.600000000000000000e+01 1.800000000000000000e+01 2.000000000000000000e+01
7        2.800000000000000000e+01 2.400000000000000000e+01 4.400000000000000000e+01 2.500000000000000000e+01 6.000000000000000000e+01 5.600000000000000000e+01 4.000000000000000000e+01 4.500000000000000000e+01 5.000000000000000000e+01
8        1.400000000000000000e+01 1.500000000000000000e+01 1.600000000000000000e+01 2.000000000000000000e+01 1.200000000000000000e+01 1.400000000000000000e+01 1.600000000000000000e+01 1.800000000000000000e+01 2.000000000000000000e+01
9        3.000000000000000000e+01 2.100000000000000000e+01 3.200000000000000000e+01 3.000000000000000000e+01 5.400000000000000000e+01 4.200000000000000000e+01 8.000000000000000000e+01 9.900000000000000000e+01 1.000000000000000000e+02


# q  seed=0                   seed=1
2    1.200000000000000000e+01 2.600000000000000000e+01 1.400000000000000000e+01 1.800000000000000000e+01 3.000000000000000000e+01 2.400000000000000000e+01 2.400000000000000000e+01 2.800000000000000000e+01 1.400000000000000000e+01 3.000000000000000000e+01
3    1.500000000000000000e+01 2.100000000000000000e+01 1.500000000000000000e+01 2.400000000000000000e+01 1.800000000000000000e+01 1.500000000000000000e+01 3.300000000000000000e+01 2.400000000000000000e+01 1.500000000000000000e+01 2.100000000000000000e+01
4    2.400000000000000000e+01 4.400000000000000000e+01 8.000000000000000000e+00 2.400000000000000000e+01 4.000000000000000000e+01 3.200000000000000000e+01 4.400000000000000000e+01 4.400000000000000000e+01 1.600000000000000000e+01 3.200000000000000000e+01
5    2.000000000000000000e+01 4.000000000000000000e+01 1.500000000000000000e+01 3.500000000000000000e+01 4.000000000000000000e+01 3.500000000000000000e+01 4.000000000000000000e+01 2.500000000000000000e+01 2.000000000000000000e+01 3.000000000000000000e+01
6    1.800000000000000000e+01 3.600000000000000000e+01 1.200000000000000000e+01 2.400000000000000000e+01 4.200000000000000000e+01 1.800000000000000000e+01 1.200000000000000000e+01 6.000000000000000000e+01 1.200000000000000000e+01 5.400000000000000000e+01
7    2.100000000000000000e+01 3.500000000000000000e+01 1.400000000000000000e+01 2.100000000000000000e+01 3.500000000000000000e+01 2.100000000000000000e+01 1.400000000000000000e+01 5.600000000000000000e+01 1.400000000000000000e+01 4.200000000000000000e+01
8    2.400000000000000000e+01 4.000000000000000000e+01 1.600000000000000000e+01 2.400000000000000000e+01 4.800000000000000000e+01 1.600000000000000000e+01 1.600000000000000000e+01 4.000000000000000000e+01 1.600000000000000000e+01 8.000000000000000000e+01
9    2.700000000000000000e+01 4.500000000000000000e+01 1.800000000000000000e+01 2.700000000000000000e+01 4.500000000000000000e+01 1.800000000000000000e+01 1.800000000000000000e+01 4.500000000000000000e+01 1.800000000000000000e+01 9.900000000000000000e+01
10   2.000000000000000000e+01 5.000000000000000000e+01 2.000000000000000000e+01 3.000000000000000000e+01 5.000000000000000000e+01 4.000000000000000000e+01 2.000000000000000000e+01 5.000000000000000000e+01 2.000000000000000000e+01 1.000000000000000000e+02
